USER_PHONE,USER_NAME,USER_BIRTH,USER_SEX,USER_MAIL,USER_IMAGE,USER_REG,USER_RENT_CNT
010-0000-0001,±è¹ÎÃ¶,19980820.0,³²ÀÚ,2453288@naver.com,"sample_image/people_default_image.png









",True,4
010-0000-0002,±è½ÂÁø,19980820.0,¿©ÀÚ,nate@nate.com,"sample_image/people_default_image.png



",False,4
010-0000-0003,±è°­¹Î,19980820.0,¿©ÀÚ,2453289@naver.com,"sample_image/people_default_image.png

",True,4
010-0000-0004,±èµµ¿î,19980820.0,¿©ÀÚ,nate@nate.com,"sample_image/people_default_image.png
",False,4
010-0000-0005,±è¹Î¿À,19980820.0,¿©ÀÚ,2453290@naver.com,sample_image/people_default_image.png,True,0
010-0000-0006,ÀÌ¹ÎÃ¶,19980820.0,¿©ÀÚ,nate@nate.com,"sample_image/people_default_image.png
",False,4
010-0000-0007,ÀÌ½ÂÁø,19980820.0,¿©ÀÚ,2453291@naver.com,"sample_image/people_default_image.png
",True,4
010-0000-0008,³²°­¹Î,19980820.0,¿©ÀÚ,nate@nate.com,sample_image/people_default_image.png,False,4
010-0000-0009,À±µµ¿î,19980820.0,¿©ÀÚ,2453292@naver.com,"sample_image/people_default_image.png
",True,4
010-0000-0010,±è¹Î¿À,19980820.0,¿©ÀÚ,nate@nate.com,sample_image/people_default_image.png,False,4
010-0000-0011,±èÂĞÀÌ,19980820.0,¿©ÀÚ,2453293@naver.com,sample_image/people_default_image.png,True,4
010-0000-0012,ÀÌÂĞÀÌ,19980820.0,³²ÀÚ,nate@nate.com,sample_image/people_default_image.png,False,4
010-0000-1111,,,TRUE,,sample_image/people_default_image.png,,0
010-0000-1112,,,TRUE,,sample_image/people_default_image.png,,0
asdf,sadf,sdf,True,asdf,"C:/Users/user/Desktop/python team project1/sample_image/9788970509433.png
",,0
